,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
535,AL,ESTRELA DE ALAGOAS,27,5,0
536,AL,ESTRELA DE ALAGOAS,30,5,0
537,AL,ESTRELA DE ALAGOAS,44,64,0
538,AL,ESTRELA DE ALAGOAS,80,1,0
539,AL,FEIRA GRANDE,12,304,0
540,AL,FEIRA GRANDE,13,9890,10346
541,AL,FEIRA GRANDE,14,12,0
542,AL,FEIRA GRANDE,15,467,0
543,AL,FEIRA GRANDE,16,2,0
544,AL,FEIRA GRANDE,21,3,0
545,AL,FEIRA GRANDE,22,2657,2967
546,AL,FEIRA GRANDE,27,0,0
547,AL,FEIRA GRANDE,30,11,0
548,AL,FEIRA GRANDE,44,63,0
549,AL,FEIRA GRANDE,80,0,0
550,AL,FELIZ DESERTO,12,25,0
551,AL,FELIZ DESERTO,13,1629,1597
552,AL,FELIZ DESERTO,14,3,0
553,AL,FELIZ DESERTO,15,68,0
554,AL,FELIZ DESERTO,16,0,0
555,AL,FELIZ DESERTO,21,0,0
556,AL,FELIZ DESERTO,22,709,690
557,AL,FELIZ DESERTO,27,0,0
558,AL,FELIZ DESERTO,30,1,0
559,AL,FELIZ DESERTO,44,8,0
560,AL,FELIZ DESERTO,80,1,0
561,AL,FLEXEIRAS,12,142,0
562,AL,FLEXEIRAS,13,3001,2795
563,AL,FLEXEIRAS,14,20,0
564,AL,FLEXEIRAS,15,173,0
565,AL,FLEXEIRAS,16,1,0
566,AL,FLEXEIRAS,21,1,0
567,AL,FLEXEIRAS,22,2685,2841
568,AL,FLEXEIRAS,27,0,0
569,AL,FLEXEIRAS,30,3,0
570,AL,FLEXEIRAS,44,72,0
571,AL,FLEXEIRAS,80,1,0
572,AL,GIRAU DO PONCIANO,12,454,0
573,AL,GIRAU DO PONCIANO,13,15297,15744
574,AL,GIRAU DO PONCIANO,14,20,0
575,AL,GIRAU DO PONCIANO,15,491,0
576,AL,GIRAU DO PONCIANO,16,1,0
577,AL,GIRAU DO PONCIANO,21,3,0
578,AL,GIRAU DO PONCIANO,22,3102,3511
579,AL,GIRAU DO PONCIANO,27,0,0
580,AL,GIRAU DO PONCIANO,30,8,0
581,AL,GIRAU DO PONCIANO,44,108,0
582,AL,GIRAU DO PONCIANO,80,4,0
583,AL,IBATEGUARA,12,192,0
584,AL,IBATEGUARA,13,4787,4916
585,AL,IBATEGUARA,14,11,0
586,AL,IBATEGUARA,15,300,0
587,AL,IBATEGUARA,16,0,0
588,AL,IBATEGUARA,21,2,0
589,AL,IBATEGUARA,22,2590,2761
590,AL,IBATEGUARA,27,0,0
591,AL,IBATEGUARA,30,6,0
592,AL,IBATEGUARA,44,30,0
593,AL,IBATEGUARA,80,4,0
594,AL,IGACI,12,231,0
595,AL,IGACI,13,10652,10837
596,AL,IGACI,14,24,0
597,AL,IGACI,15,443,0
598,AL,IGACI,16,4,0
599,AL,IGACI,21,0,0
600,AL,IGACI,22,2325,2627
601,AL,IGACI,27,1,0
602,AL,IGACI,30,8,0
603,AL,IGACI,44,89,0
604,AL,IGACI,80,1,0
605,AL,IGREJA NOVA,12,219,0
606,AL,IGREJA NOVA,13,9392,9594
607,AL,IGREJA NOVA,14,12,0
608,AL,IGREJA NOVA,15,441,0
609,AL,IGREJA NOVA,16,1,0
610,AL,IGREJA NOVA,21,2,0
611,AL,IGREJA NOVA,22,2704,2944
612,AL,IGREJA NOVA,27,0,0
613,AL,IGREJA NOVA,30,7,0
614,AL,IGREJA NOVA,44,69,0
615,AL,IGREJA NOVA,80,0,0
616,AL,INHAPI,12,163,0
617,AL,INHAPI,13,7310,7228
618,AL,INHAPI,14,3,0
619,AL,INHAPI,15,329,0
620,AL,INHAPI,16,1,0
621,AL,INHAPI,21,4,0
622,AL,INHAPI,22,1213,1387
623,AL,INHAPI,27,1,0
624,AL,INHAPI,30,4,0
625,AL,INHAPI,44,17,0
626,AL,INHAPI,80,1,0
627,AL,JACARÉ DOS HOMENS,12,63,0
628,AL,JACARÉ DOS HOMENS,13,2829,2788
629,AL,JACARÉ DOS HOMENS,14,1,0
